6, 0, 1, 'Consult accession', 'VaZy 94 for HR1 and HR2 domains and VaZy 169 for HR1 stucture (PDB: 1G2C)', 'NULL'
170, 0, 3, 'Activity', 'Motif Zinc binding: The M2-1 protein contains a Cys(3)-His(1) motif (C-X(7)-C-X(5)-C-X(3)-H) near the amino terminus. This motif is conserved in all human, bovine, and ovine strains of RS ( respiratory syncytial )virus. A similar motif found in the mammalian transcription factor Nup475 has been shown to bind zinc. The M2-1 protein of human RS virus functions as a transcription factor which increases polymerase processivity, and it enhances readthrough of intergenic junctions during RS virus transcription, thereby acting as a transcription antiterminator.', 10846068
173, 0, 1, 'prot infos NCBI', 'NCBI name : polymerase complex protein', 'NULL'
174, 0, 1, 'Biochemical', 'The cellular E3 ubiquitin ligase Nedd4 regulates budding of VP40-induced virus-like particles (VLPs) through interaction with the PPxY motif. The WW domains of Nedd4 are essential for binding to the viral PPxY motif, and a small fragment of Nedd4 containing only WW domains significantly inhibited Ebola VLP budding in a dominant-negative manner', 12941909
174, 0, 2, 'Motif', 'the viruses containing PPxY as an L-domain motif specifically use E3 in the process of virus budding', 12941909
178, 0, 1, 'Function', 'Transcription process is further dependent on VP30, an essential EBOV-specific transcription factor.', 12912982
178, 0, 2, 'Structure-Role/Function', 'The essential role of homo-oligomerization for the function of VP30 was further corroborated by the finding that mixed VP30 oligomers consisting of VP30 and transcriptionally inactive VP30 mutants were impaired in their ability to support EBOV transcription.', 12912982
178, 0, 3, 'Structuration', 'Marburg virus VP30 is also present as an oligomer.', 12912982
178, 0, 4, 'Role', 'It has been shown that the protein is not only an activator of viral transcription but is also involved in the formation of the viral nucleocapsid. The switch between the two functions of VP30 is presumed to be modulated by phosphorylation of six serine residues in the N terminus of the molecule.', 12052831
178, 0, 5, 'Structure-Role/Function', 'Oligomerization is not needed for the interaction of VP30 with the EBOV nucleocapsid ( NB: nucleocapsid bindingdomain of VP30), oligomerization of VP30 is essential for the transactivating function and for the propagation of EBOV in cell culture.', 12912982
178, 0, 6, 'Activity', 'EBOV VP30 does not act as an elongation factor. Since mRNA synthesis was strongly dependent on the presence of VP30, it is assumed that VP30 is involved in an early step of transcription. VP30-regulated transcription is dependent on secondary structure formation of the NP gene start sequence. All filoviral transcription start signals are predicted to be involved in formation of stable stem-loop structures. The proper secondary structure formation ofthe NP gene start signal is a prerequisite for VP30-dependent transcription activation.and its secondary structure acts as an autonomous signal. Transcription reinitiation at internally located gene start signals with intact stem-loop structures is nota VP30-regulated process. Transcription activation at the first promoter-proximal gene start signal, however, is strongly regulatedby VP30. This regulation is dependent on a proper secondary structure formation of the transcription start site.', 12163572
178, 0, 7, 'Activity Note', 'Since the sequences downstream of the highly conserved transcription start signals are not conserved, the structure of the predicted stem-loops varies from gene to gene .', 'NULL'
185, 0, 1, 'Structuration', 'Marburg virus VP30 is also present as an oligomer.', 12912982
191, 0, 1, 'prot infos NCBI', 'NCBI name : NS protein', 'NULL'
192, 0, 1, 'Consult accession', 'VAZy 102 : consult information on tubulin - here, probable interaction between matrix Nterm and tubulin Cterm.', 14592411
193, 0, 1, 'prot infos Fields', 'typical type I membrane glycoprotein', 'NULL'
215, 0, 2, 'Localisation', '(Fields) GNS is synthesized in approximately the same amount as G during cell infection, but it is not found in the mature virion. Intracellularly, it is localized in the endoplasmic reticulum/golgi complex, and it associated with amorphous structures in the cell surface but not with viruses in the budding process.', 'NULL'
215, 0, 1, 'Localisation', '(Fields) GNS gene is located downstream of the G gene. ', 'NULL'
215, 0, 3, 'Function', 'The GNS function is unknown. It shares significant amino acid sequence homology with the G protein, but it does induce protective neutralizing antibodies. ', 'NULL'
215, 0, 4, 'Function (perhaps)', '(Fields) It was proposed that the gene coding for this protein originated by gene duplication by a copy-choice mechanism involving relocation of the polymerase in an upstream position during viral replication.', 'NULL'
223, 0, 1, 'prot infos NCBI', 'NCBI name : phosphorylated protein ', 'NULL'
227, 0, 1, 'Function', 'RNA polymerase', 'NULL'
229, 0, 1, 'prot infos NCBI', 'NCBI name : polymerase-associated protein', 'NULL'
235, 0, 1, 'prot infos NCBI', 'NCBI name : polymerase-associated protein ', 'NULL'
240, 0, 2, 'Origine sequence', '(Fields) Two isoforms of BDV N protein p40 and p38 are found in BDV-infected cells. These two forms may be encoded by two different mRNA species, but differential usage of two in-frame initition codons present in the BDV p40 gene could also contribute to the production of BDV p40/38.', 'NULL'
240, 0, 3, 'Motif', 'NLS : p38 isoform of N lacks this NLS and accumulates in the cytoplasm.', 'NULL'
240, 0, 1, 'Structure', 'PDB: 1PP1', 14527390
241, 0, 1, 'Domain Delimitation', '(Fields) P has two functionally independant proline-rich NLS located at its N- and C-terminal regions (in DISORDERED REGIONS). ', 'NULL'
242, 0, 1, 'Role', 'Lectin binding and endoglycosidase sensitivity assays indicate that gp18 is an unusual N-linked glycoprotein.', 7933072
242, 0, 2, 'Characteristics', '(Fields) M has been characterized as a biantennary complex type of glycoprotein, sensitive to endoglycosidase F, but not to endoglycosidase H or O-glycosidase.', 'NULL'
243, 0, 1, 'Cleavage', 'GP-84 and GP-43 likely correspond to the full-length BVp56 gene and to its C terminus, respectively. Results suggested that GP-43 is generated by cleavage of GP-84 by a cellular protease.', 9060684
243, 0, 2, 'Localisation', 'Subcellular localization studies demonstrated that GP-84 accumulates in the ER, whereas GP-43 reaches the cell surface.', 9060684
243, 0, 3, 'Role/Function', 'Both BVp56 products were found to be associated with infectious virions, and antibodies to BVp56 had neutralizing activity. Findings suggest that BVp56 exhibits a novel form of processing for an animal NNS RNA virus surface glycoprotein, which might influence the assembly and budding of BDV.', 9060684
243, 0, 4, 'Composition-Role/Function', ' There is a stretch of five arginines located in amino acid positions 245 to 249 of BVp56. This sequence conforms to the minimal consensus sequence R(K/R)(K/R)R recognized by furin, a cellular calcium-dependent, subtilisin-like endoprotease which accumulates in the trans-Golgi network.', 9420287
267, 0, 1, 'Motif', 'Motifs polymerase phlebovirus : all found', 'NULL'
268, 9, 1, 'Domain Delimitation', '(NS3) F79 minimal functional helicase/NTPase domain starts between residues 160 and 180 in case of NS3 Dengue virus', 10074162
291, 0, 1, 'Motif', 'Motifs polymerase phlebovirus : all found', 'NULL'
308, 0, 1, 'Activity', 'NS2 may play a role in promoting normal replication of the genomic RNAs by preventing the replication of short-length RNA species', 8113739
325, 0, 1, 'Motif', 'Motifs polymerase phlebovirus : all found', 'NULL'
329, 0, 1, 'Activity', 'NS2 may play a role in promoting normal replication of the genomic RNAs by preventing the replication of short-length RNA species.', 8113739
333, 0, 1, 'Structure', '1EA3 : The M1 protein fragment forms a dimer related by a noncrystallographic twofold axis at PH 4.0. Each monomer consists of 9 alpha-helices, 8 loop regions, and no beta-strands.', 9164466
333, 0, 2, 'Origine sequence', 'segmented RNA : 8 segments', 'NULL'
342, 0, 1, 'Consult accession', 'VaZy 94 for HR1 and HR2 domains and VaZy 169 for HR1 stucture (PDB: 1G2C)', 'NULL'
347, 0, 1, 'Consult accession', 'VaZy 94 for HR1 and HR2 domains and VaZy 169 for HR1 stucture (PDB: 1G2C)', 'NULL'
355, 0, 1, 'prot infos NCBI', 'NCBI name : matrix protein 1', 'NULL'
373, 0, 1, 'prot infos NCBI', 'NCBI name : attachment glycoprotein', 'NULL'
391, 0, 1, 'Origine sequence', 'Additional ORF, p10 or X, encodes a polypeptide of 10 Kb present in BDV-infected cells. The synthesis starts within the same mRNA transcription unit as p24, but 49 nucleotides upstream, and it overlaps, in a different frame, with the 71 N-ter aa of p24.', 'NULL'
391, 0, 2, 'Localisation', '(Fields) Co-localisation studies suggest that in addition to NP(p40) and P(p24), p10 is also part of the RNP complex.', 'NULL'
395, 0, 1, 'prot infos NCBI', 'NCBI name : polymerase complex protein', 'NULL'
409, 0, 1, 'Consult accession', 'VaZy 94 for HR1 and HR2 domains and VaZy 169 for HR1 stucture (PDB: 1G2C)', 'NULL'
440, 12, 1, 'Motif', 'Motifs Helicase super family 1 : all found', 'NULL'
442, 0, 1, 'Function', 'The S protein, which forms morphologically characteristic projections on the virion surface, mediates binding to host receptors and membrane fusion ', 'NULL'
443, 0, 1, 'Biochemical', 'protein is transported to the cell surface and undergoes endocytosis ', 15194747
443, 0, 2, 'BIBLIO', 'Reference: A Novel Severe Acute Respiratory Syndrome Coronavirus Protein, U274, Is Transported to the Cell Surface and Undergoes EndocytosisYee-Joo Tan, Eileen Teng, Shuo Shen, Timothy H. P. Tan, Phuay-Yee Goh, Burtram C. Fielding, Eng-Eong Ooi, Hwee-Cheng Tan, Seng Gee Lim, and Wanjin HongJ. Virol. 2004;78 6723-6734', 15194747
443, 0, 3, 'Structure-Role/Function', 'probable calcium pump REF: http://www.ias.ac.in/currsci/mar252004/842.pdf', 'NULL'
451, 10, 1, 'Motif', 'Motifs Helicase super family 1 : all found', 'NULL'
459, 10, 1, 'Motif', 'Motifs Helicase super family 1 : all found', 'NULL'
465, 12, 1, 'Motif', 'Motifs Helicase super family 1 : all found', 'NULL'
473, 10, 1, 'Motif', 'Motifs Helicase super family 1 : all found', 'NULL'
483, 11, 1, 'Motif', 'Motifs Helicase super family 1 : all found', 'NULL'
487, 0, 1, 'prot infos NCBI', '3D: 1WDF', 15123674
494, 12, 1, 'Motif', 'Motifs Helicase super family 1 : all found', 'NULL'
506, 0, 3, 'Biochemical', 'serotype : 1a', 'NULL'
506, 4, 5, 'Structure', 'p7 has a double membrane-spanning topology, with both its N and C termini oriented toward the extracellular environment.', 11907211
506, 7, 1, 'Activity', 'The C-terminal half of p7 (SpNS2) is a signal sequence gavy-lllalp : p7 and NS2 is catalyzed by a host signal peptidase.', 11907211
506, 6, 4, 'Cleavage', 'NS3 protease associated at NS4A cofactor cleaves --(1)-- NS3/NS4A (cis cleavage EVVT/STWV) after T, at position 1657 --(2)-- NS4A/NS4B (trans cleavage MEEC/SQHL) after C, at position 1711 --(3)-- NS4B/NS5A (trans cleavage TTPC/SGSW) after C, at position 1972 --(4)-- NS5 in NS5A/NS5B (trans cleavage VVCC/SMSY) after C, at position 2420.', 9864043
506, 7, 8, 'Structure- Role/Function', 'The 20 aa in N-terminus of NS4A (F226 module) shape a trans membrane helix. Thus, NS3-membrane association is possible and NS3 is protected from cellular protease degradation.', 8861917
506, 7, 2, 'Activity', 'NS4A: protease cofactor. A formation of Beta sheet implied formation and stabilization of NS3 protease active site. Zinc bound in C-ter of protease induces protein conformation and stabilizes active site.(no role in protease activation). ', 8861917
506, 7, 6, 'Structure', 'The central region of NS4A is an integral part of the amino-terminal domain and forms the seventh strand of an eight-stranded \DF-barrel.', 12610142
506, 10, 7, 'Structure', 'NS5B (transmembrane domain): The hepatitis C virus (HCV) RNA-dependent RNA polymerase (RdRp) belongs to a class of membrane proteins termed tail-anchored proteins.', 12438637
506, 9, 9, 'Function', 'The zinc content of purified NS5A and the amino-terminal domain of NS5A was determined, and each of these proteins was found to coordinate one zinc atom per protein.', 15339921
506, 9, 10, 'Function/Mutation', ' Mutation of any of the four cysteine components of this motif reduced NS5A zinc coordination and led to a lethal phenotype for HCV RNA replication, whereas mutation of other potential metal coordination residues in the amino-terminal domain of NS5A, but outside the zinc-binding motif, had little effect on zinc binding and, aside from one exception, were tolerated for replication. Collectively, these results indicate that NS5A is a zinc metalloprotein and that zinc coordination is likely required for NS5A function in the hepatitis C replicase.', 15339921
510, 0, 14, 'Taxonomy', 'synonym name: Bovine viral diarrhea virus 1', 'NULL'
533, 1, 6, 'Biochemical', 'NSP1a ou alpha [1-166]: Cleavage site = Cys 76 ; Catalytic residues = His 146 ', 10073689
533, 1, 7, 'Biochemical', 'NSP1b ou beta [167-383]: Cleavage site = Cys 270 ; Catalytic residues = His 339', 10073689
533, 1, 8, 'Biochemical', 'Cleavage at position 166 would separate Nsp1a and Nsp1b.', 10073689
533, 2, 9, 'Biochemical', 'NSP2 [384-1363]: Chymotrypsin-like (3C-like) cysteine protease domain between residues 437 and 441 and might be involved in the cleavage between Nsp2 and Nsp3.', 10073689
533, 3, 10, 'Biochemical', 'NSP3 [1364-1809]: hydrophobic carboxy terminus', 10073689
533, 4, 11, 'Biochemical', 'NSP4 [1810-2013]: Chymotrypsin-like (3C-like) serine protease domain between residues 1844 and 1850. Catalytic residues=His 1848, Asp 1873 and Ser 1929 ; Cleavage sites= 1809(E/G), 2013(E/G) and 2458(E/G).', 10073689
533, 5, 12, 'Biochemical', 'NSP5 [2014-2458]: additional 3C-like serine protease cleavage site at position 2183 (E/G), giving rise to the possibility that Nsp5 is cleaved into two proteins.', 10073689
533, 9, 13, 'Motif', 'Motifs Helicase super family 1 : all found', 'NULL'
533, 4, 14, 'Biochemical', '3C-LIKE PROTEASE predicted by van Dinten et al. (1996): three cleavage sites at residues 3143 (E/G), 3584 (E/G), 3807 (E/G).', 10073689
533, 8, 15, 'Domain Delimitation', ' FrameShift : 2503 (stop codon)', 'NULL'
539, 0, 1, 'Localisation', 'Nter cyto, Cter ext', 'NULL'
540, 0, 1, 'Composition-Role/Function', 'The N-terminal half of the 123 residue N protein contains a large number of Lys, Gln, and Asn residues and is presumed to be involved in RNA binding by analogy with similar regions in other enveloped RNA viruses.', 14604534
540, 0, 2, 'Composition-Role/Function', 'The C-terminal half constitutes the shell-forming domain of the protein, and the 11 C-terminal residues have been reported previously to be important for capsid formation', 14604534
540, 0, 3, 'Localisation', 'The nucleocapsid (N) protein of porcine reproductive and respiratory syndrome virus (PRRSV) is the principal component of the viral nucleocapsid and localizes to the nucleolus', 14599798
541, 8, 1, 'Domain Delimitation', 'FrameShift : 1727 (stop codon)', 'NULL'
543, 0, 1, 'Composition', 'The envelope (E) protein is very hydrophobic and has a basic C terminus. ', 10400725
543, 0, 2, 'Composition', 'E protein proved to be very stable, did not form disulfide-linked oligomers, and was not N-glycosylated.', 10400725
543, 0, 3, 'Localisation', 'The E protein associates with intracellular membranes', 10400725
547, 0, 1, 'Origine sequence', 'Gl envelope protein, is encoded in ORF5, and is 30- 45 kDa in size. ', 'NULL'
547, 0, 2, 'Composition', 'Gl is heterogenously glycosylated with N-acetyllactosamine in a cell-type-specific manner.', 'NULL'
547, 0, 3, 'Role', 'The GL envelope glycoprotein encoded by ORF5 expressed the neutralization determinants of EAV.', 8553578
550, 10, 1, 'Domain Delimitation', 'FrameShift : 2226 (stop codon)', 'NULL'
556, 0, 1, 'Localisation', 'Nter cyto, Cter ext', 'NULL'
557, 0, 1, 'Consult accession', 'VaZy 540', 'NULL'
558, 9, 1, 'Motif', 'abs motif VI helicase super family 1', 'NULL'
558, 8, 2, 'Domain Delimitation', 'FrameShift : 2105 (stop codon)', 'NULL'
567, 0, 1, 'Localisation', 'Nter cyto, Cter ext', 'NULL'
572, 0, 1, 'Consult accession', 'VaZy 94 for HR1 and HR2 domains and VaZy 169 for HR1 stucture (PDB: 1G2C)', 'NULL'
613, 0, 1, 'Composition', '[(1-37)F81] DISORDER probable, perhaps induced folding', 'NULL'
614, 0, 1, 'Structuration', '[60-110] non structur\E9', 'NULL'
615, 0, 1, 'Note NCBI', 'name of protein : cysteine-rich protein', 'NULL'
617, 0, 1, 'Consult accession', 'VaZy 94 for HR1 and HR2 domains and VaZy 169 for HR1 stucture (PDB: 1G2C)', 'NULL'
633, 0, 1, 'prot infos NCBI', 'NP_819009 = P123 (together with NSP4, constitutes the minus-strand polymerase) [1-1817]', 'NULL'
633, 1, 2, 'Structure-Role/Function', 'Solution structure of membrane binding peptide of semliki forest virus mRNA capping enzyme nsp1', 10984480
633, 1, 3, 'Activity', 'methyltransferase guanylyltransferase: activities associated with capping of RNA', 'NULL'
633, 1, 4, 'Composition-Role/Function', 'nsP1 interact with the membrane of infected cell : *1) alpha helix of nsP1 (residus 245 to 264) interact the bilayer lipid membrane *2) reaction of palmitoylation between three cysteine (418-419-420)', 'NULL'
642, 0, 1, 'prot infos NCBI', 'NP_819014 = Nonstructural protein P123 [1-1888]', 'NULL'
644, 0, 1, 'prot infos NCBI', 'NP_818937 = nonstructural protein P123 [1-1859]', 'NULL'
